101: Agent spawned at x: 20 y:30
194: Agent moved to x: 7 y:37
194: Agent's goal is x: 10 y:40
195: Agent moved to x: 7 y:38
195: Agent's goal is x: 10 y:40
196: Agent moved to x: 8 y:38
196: Agent's goal is x: 10 y:40
197: Agent moved to x: 8 y:39
197: Agent's goal is x: 10 y:40
198: Agent moved to x: 9 y:39
198: Agent's goal is x: 10 y:40
199: Agent moved to x: 9 y:40
199: Agent's goal is x: 10 y:40
200: Agent moved to x: 10 y:40
200: Agent's goal is x: 10 y:40
201: Agent synchronized with x: 10 y:40
201: Agent changed target neighbour to x: 20 y:40
201: Agent moved to x: 11 y:40
201: Agent's goal is x: 20 y:40
202: Agent moved to x: 12 y:40
202: Agent's goal is x: 20 y:40
203: Agent moved to x: 13 y:40
203: Agent's goal is x: 20 y:40
204: Agent moved to x: 14 y:40
204: Agent's goal is x: 20 y:40
205: Agent moved to x: 15 y:40
205: Agent's goal is x: 20 y:40
206: Agent moved to x: 16 y:40
206: Agent's goal is x: 20 y:40
207: Agent moved to x: 17 y:40
207: Agent's goal is x: 20 y:40
208: Agent moved to x: 18 y:40
208: Agent's goal is x: 20 y:40
209: Agent moved to x: 19 y:40
209: Agent's goal is x: 20 y:40
210: Agent moved to x: 20 y:40
210: Agent's goal is x: 20 y:40
211: Agent synchronized with x: 20 y:40
211: Agent changed target neighbour to x: 30 y:40
211: Agent moved to x: 21 y:40
211: Agent's goal is x: 30 y:40
212: Agent moved to x: 22 y:40
212: Agent's goal is x: 30 y:40
213: Agent moved to x: 23 y:40
213: Agent's goal is x: 30 y:40
214: Agent moved to x: 24 y:40
214: Agent's goal is x: 30 y:40
215: Agent moved to x: 25 y:40
215: Agent's goal is x: 30 y:40
216: Agent moved to x: 26 y:40
216: Agent's goal is x: 30 y:40
217: Agent moved to x: 27 y:40
217: Agent's goal is x: 30 y:40
218: Agent moved to x: 28 y:40
218: Agent's goal is x: 30 y:40
219: Agent moved to x: 29 y:40
219: Agent's goal is x: 30 y:40
220: Agent moved to x: 30 y:40
220: Agent's goal is x: 30 y:40
221: Agent synchronized with x: 30 y:40
221: Agent changed target neighbour to x: 40 y:40
221: Agent moved to x: 31 y:40
221: Agent's goal is x: 40 y:40
222: Agent moved to x: 32 y:40
222: Agent's goal is x: 40 y:40
223: Agent moved to x: 33 y:40
223: Agent's goal is x: 40 y:40
224: Agent moved to x: 34 y:40
224: Agent's goal is x: 40 y:40
225: Agent moved to x: 35 y:40
225: Agent's goal is x: 40 y:40
226: Agent moved to x: 36 y:40
226: Agent's goal is x: 40 y:40
227: Agent moved to x: 37 y:40
227: Agent's goal is x: 40 y:40
228: Agent moved to x: 38 y:40
228: Agent's goal is x: 40 y:40
229: Agent moved to x: 39 y:40
229: Agent's goal is x: 40 y:40
230: Agent moved to x: 40 y:40
230: Agent's goal is x: 40 y:40
231: Agent synchronized with x: 40 y:40
231: Agent changed target neighbour to x: 30 y:30
231: Agent moved to x: 40 y:39
231: Agent's goal is x: 30 y:30
232: Agent moved to x: 39 y:39
232: Agent's goal is x: 30 y:30
233: Agent moved to x: 39 y:38
233: Agent's goal is x: 30 y:30
234: Agent moved to x: 38 y:38
234: Agent's goal is x: 30 y:30
235: Agent moved to x: 38 y:37
235: Agent's goal is x: 30 y:30
236: Agent moved to x: 37 y:37
236: Agent's goal is x: 30 y:30
237: Agent moved to x: 37 y:36
237: Agent's goal is x: 30 y:30
238: Agent moved to x: 36 y:36
238: Agent's goal is x: 30 y:30
239: Agent moved to x: 36 y:35
239: Agent's goal is x: 30 y:30
240: Agent moved to x: 35 y:35
240: Agent's goal is x: 30 y:30
241: Agent moved to x: 35 y:34
241: Agent's goal is x: 30 y:30
242: Agent moved to x: 34 y:34
242: Agent's goal is x: 30 y:30
243: Agent moved to x: 34 y:33
243: Agent's goal is x: 30 y:30
244: Agent moved to x: 33 y:33
244: Agent's goal is x: 30 y:30
245: Agent moved to x: 33 y:32
245: Agent's goal is x: 30 y:30
246: Agent moved to x: 32 y:32
246: Agent's goal is x: 30 y:30
247: Agent moved to x: 32 y:31
247: Agent's goal is x: 30 y:30
248: Agent moved to x: 31 y:31
248: Agent's goal is x: 30 y:30
249: Agent moved to x: 31 y:30
249: Agent's goal is x: 30 y:30
250: Agent moved to x: 30 y:30
250: Agent's goal is x: 30 y:30
251: Agent synchronized with x: 30 y:30
251: Agent changed target neighbour to x: 40 y:30
251: Agent moved to x: 31 y:30
251: Agent's goal is x: 40 y:30
252: Agent moved to x: 32 y:30
252: Agent's goal is x: 40 y:30
253: Agent moved to x: 33 y:30
253: Agent's goal is x: 40 y:30
254: Agent moved to x: 34 y:30
254: Agent's goal is x: 40 y:30
255: Agent moved to x: 35 y:30
255: Agent's goal is x: 40 y:30
256: Agent moved to x: 36 y:30
256: Agent's goal is x: 40 y:30
257: Agent moved to x: 37 y:30
257: Agent's goal is x: 40 y:30
258: Agent moved to x: 38 y:30
258: Agent's goal is x: 40 y:30
259: Agent moved to x: 39 y:30
259: Agent's goal is x: 40 y:30
260: Agent moved to x: 40 y:30
260: Agent's goal is x: 40 y:30
261: Agent synchronized with x: 40 y:30
261: Agent changed target neighbour to x: 30 y:20
261: Agent moved to x: 40 y:29
261: Agent's goal is x: 30 y:20
262: Agent moved to x: 39 y:29
262: Agent's goal is x: 30 y:20
263: Agent moved to x: 39 y:28
263: Agent's goal is x: 30 y:20
264: Agent moved to x: 38 y:28
264: Agent's goal is x: 30 y:20
265: Agent moved to x: 38 y:27
265: Agent's goal is x: 30 y:20
266: Agent moved to x: 37 y:27
266: Agent's goal is x: 30 y:20
267: Agent moved to x: 37 y:26
267: Agent's goal is x: 30 y:20
268: Agent moved to x: 36 y:26
268: Agent's goal is x: 30 y:20
269: Agent moved to x: 36 y:25
269: Agent's goal is x: 30 y:20
270: Agent moved to x: 35 y:25
270: Agent's goal is x: 30 y:20
271: Agent moved to x: 35 y:24
271: Agent's goal is x: 30 y:20
272: Agent moved to x: 34 y:24
272: Agent's goal is x: 30 y:20
273: Agent moved to x: 34 y:23
273: Agent's goal is x: 30 y:20
274: Agent moved to x: 33 y:23
274: Agent's goal is x: 30 y:20
275: Agent moved to x: 33 y:22
275: Agent's goal is x: 30 y:20
276: Agent moved to x: 32 y:22
276: Agent's goal is x: 30 y:20
277: Agent moved to x: 32 y:21
277: Agent's goal is x: 30 y:20
278: Agent moved to x: 31 y:21
278: Agent's goal is x: 30 y:20
279: Agent moved to x: 31 y:20
279: Agent's goal is x: 30 y:20
280: Agent moved to x: 30 y:20
280: Agent's goal is x: 30 y:20
281: Agent synchronized with x: 30 y:20
281: Agent changed target neighbour to x: 40 y:20
281: Agent moved to x: 31 y:20
281: Agent's goal is x: 40 y:20
282: Agent moved to x: 32 y:20
282: Agent's goal is x: 40 y:20
283: Agent moved to x: 33 y:20
283: Agent's goal is x: 40 y:20
284: Agent moved to x: 34 y:20
284: Agent's goal is x: 40 y:20
285: Agent moved to x: 35 y:20
285: Agent's goal is x: 40 y:20
286: Agent moved to x: 36 y:20
286: Agent's goal is x: 40 y:20
287: Agent moved to x: 37 y:20
287: Agent's goal is x: 40 y:20
288: Agent moved to x: 38 y:20
288: Agent's goal is x: 40 y:20
289: Agent moved to x: 39 y:20
289: Agent's goal is x: 40 y:20
290: Agent moved to x: 40 y:20
290: Agent's goal is x: 40 y:20
291: Agent synchronized with x: 40 y:20
291: Agent changed target neighbour to x: 40 y:10
291: Agent moved to x: 40 y:19
291: Agent's goal is x: 40 y:10
292: Agent moved to x: 40 y:18
292: Agent's goal is x: 40 y:10
293: Agent moved to x: 40 y:17
293: Agent's goal is x: 40 y:10
294: Agent moved to x: 40 y:16
294: Agent's goal is x: 40 y:10
295: Agent moved to x: 40 y:15
295: Agent's goal is x: 40 y:10
296: Agent moved to x: 40 y:14
296: Agent's goal is x: 40 y:10
297: Agent moved to x: 40 y:13
297: Agent's goal is x: 40 y:10
298: Agent moved to x: 40 y:12
298: Agent's goal is x: 40 y:10
299: Agent moved to x: 40 y:11
299: Agent's goal is x: 40 y:10
