400: Request spawned at x: 370 y:50
442: Request's goal is x: 360 y:30
443: Request moved to x: 360 y:37
443: Request's goal is x: 360 y:30
444: Request moved to x: 360 y:36
444: Request's goal is x: 360 y:30
445: Request moved to x: 360 y:35
445: Request's goal is x: 360 y:30
446: Request moved to x: 360 y:34
446: Request's goal is x: 360 y:30
447: Request moved to x: 360 y:33
447: Request's goal is x: 360 y:30
448: Request moved to x: 360 y:32
448: Request's goal is x: 360 y:30
449: Request moved to x: 360 y:31
449: Request's goal is x: 360 y:30
450: Request moved to x: 360 y:30
450: Request's goal is x: 360 y:30
451: Request changed target neighbour to x: 370 y:20
451: Request moved to x: 360 y:29
451: Request's goal is x: 370 y:20
452: Request moved to x: 361 y:29
452: Request's goal is x: 370 y:20
453: Request moved to x: 361 y:28
453: Request's goal is x: 370 y:20
454: Request moved to x: 362 y:28
454: Request's goal is x: 370 y:20
455: Request moved to x: 362 y:27
455: Request's goal is x: 370 y:20
456: Request moved to x: 363 y:27
456: Request's goal is x: 370 y:20
457: Request moved to x: 363 y:26
457: Request's goal is x: 370 y:20
458: Request moved to x: 364 y:26
458: Request's goal is x: 370 y:20
459: Request moved to x: 364 y:25
459: Request's goal is x: 370 y:20
460: Request moved to x: 365 y:25
460: Request's goal is x: 370 y:20
461: Request moved to x: 365 y:24
461: Request's goal is x: 370 y:20
462: Request moved to x: 366 y:24
462: Request's goal is x: 370 y:20
463: Request moved to x: 366 y:23
463: Request's goal is x: 370 y:20
464: Request moved to x: 367 y:23
464: Request's goal is x: 370 y:20
465: Request moved to x: 367 y:22
465: Request's goal is x: 370 y:20
466: Request moved to x: 368 y:22
466: Request's goal is x: 370 y:20
467: Request moved to x: 368 y:21
467: Request's goal is x: 370 y:20
468: Request moved to x: 369 y:21
468: Request's goal is x: 370 y:20
469: Request moved to x: 369 y:20
469: Request's goal is x: 370 y:20
470: Request moved to x: 370 y:20
470: Request's goal is x: 370 y:20
471: Request changed target neighbour to x: 360 y:20
471: Request moved to x: 369 y:20
471: Request's goal is x: 360 y:20
472: Request moved to x: 368 y:20
472: Request's goal is x: 360 y:20
473: Request moved to x: 367 y:20
473: Request's goal is x: 360 y:20
474: Request moved to x: 366 y:20
474: Request's goal is x: 360 y:20
475: Request moved to x: 365 y:20
475: Request's goal is x: 360 y:20
476: Request moved to x: 364 y:20
476: Request's goal is x: 360 y:20
477: Request moved to x: 363 y:20
477: Request's goal is x: 360 y:20
478: Request moved to x: 362 y:20
478: Request's goal is x: 360 y:20
479: Request moved to x: 361 y:20
479: Request's goal is x: 360 y:20
480: Request moved to x: 360 y:20
480: Request's goal is x: 360 y:20
481: Request changed target neighbour to x: 370 y:30
481: Request moved to x: 360 y:21
481: Request's goal is x: 370 y:30
482: Request moved to x: 361 y:21
482: Request's goal is x: 370 y:30
483: Request moved to x: 361 y:22
483: Request's goal is x: 370 y:30
484: Request moved to x: 362 y:22
484: Request's goal is x: 370 y:30
485: Request moved to x: 362 y:23
485: Request's goal is x: 370 y:30
486: Request moved to x: 363 y:23
486: Request's goal is x: 370 y:30
487: Request moved to x: 363 y:24
487: Request's goal is x: 370 y:30
488: Request moved to x: 364 y:24
488: Request's goal is x: 370 y:30
489: Request moved to x: 364 y:25
489: Request's goal is x: 370 y:30
490: Request moved to x: 365 y:25
490: Request's goal is x: 370 y:30
491: Request moved to x: 365 y:26
491: Request's goal is x: 370 y:30
492: Request moved to x: 366 y:26
492: Request's goal is x: 370 y:30
493: Request moved to x: 366 y:27
493: Request's goal is x: 370 y:30
494: Request moved to x: 367 y:27
494: Request's goal is x: 370 y:30
495: Request moved to x: 367 y:28
495: Request's goal is x: 370 y:30
496: Request moved to x: 368 y:28
496: Request's goal is x: 370 y:30
497: Request moved to x: 368 y:29
497: Request's goal is x: 370 y:30
498: Request moved to x: 369 y:29
498: Request's goal is x: 370 y:30
499: Request moved to x: 369 y:30
499: Request's goal is x: 370 y:30
500: Request moved to x: 370 y:30
500: Request's goal is x: 370 y:30
501: Request changed target neighbour to x: 360 y:20
501: Request moved to x: 370 y:29
501: Request's goal is x: 360 y:20
502: Request moved to x: 369 y:29
502: Request's goal is x: 360 y:20
503: Request moved to x: 369 y:28
503: Request's goal is x: 360 y:20
504: Request moved to x: 368 y:28
504: Request's goal is x: 360 y:20
505: Request moved to x: 368 y:27
505: Request's goal is x: 360 y:20
506: Request moved to x: 367 y:27
506: Request's goal is x: 360 y:20
507: Request moved to x: 367 y:26
507: Request's goal is x: 360 y:20
508: Request moved to x: 366 y:26
508: Request's goal is x: 360 y:20
509: Request moved to x: 366 y:25
509: Request's goal is x: 360 y:20
510: Request moved to x: 365 y:25
510: Request's goal is x: 360 y:20
511: Request moved to x: 365 y:24
511: Request's goal is x: 360 y:20
512: Request moved to x: 364 y:24
512: Request's goal is x: 360 y:20
513: Request moved to x: 364 y:23
513: Request's goal is x: 360 y:20
514: Request moved to x: 363 y:23
514: Request's goal is x: 360 y:20
515: Request moved to x: 363 y:22
515: Request's goal is x: 360 y:20
516: Request moved to x: 362 y:22
516: Request's goal is x: 360 y:20
517: Request moved to x: 362 y:21
517: Request's goal is x: 360 y:20
518: Request moved to x: 361 y:21
518: Request's goal is x: 360 y:20
519: Request moved to x: 361 y:20
519: Request's goal is x: 360 y:20
520: Request moved to x: 360 y:20
520: Request's goal is x: 360 y:20
521: Request changed target neighbour to x: 350 y:20
521: Request moved to x: 359 y:20
521: Request's goal is x: 350 y:20
522: Request moved to x: 358 y:20
522: Request's goal is x: 350 y:20
523: Request moved to x: 357 y:20
523: Request's goal is x: 350 y:20
524: Request moved to x: 356 y:20
524: Request's goal is x: 350 y:20
525: Request moved to x: 355 y:20
525: Request's goal is x: 350 y:20
526: Request moved to x: 354 y:20
526: Request's goal is x: 350 y:20
527: Request moved to x: 353 y:20
527: Request's goal is x: 350 y:20
528: Request moved to x: 352 y:20
528: Request's goal is x: 350 y:20
529: Request moved to x: 351 y:20
529: Request's goal is x: 350 y:20
530: Request moved to x: 350 y:20
530: Request's goal is x: 350 y:20
531: Request changed target neighbour to x: 360 y:20
531: Request moved to x: 351 y:20
531: Request's goal is x: 360 y:20
532: Request moved to x: 352 y:20
532: Request's goal is x: 360 y:20
533: Request moved to x: 353 y:20
533: Request's goal is x: 360 y:20
534: Request moved to x: 354 y:20
534: Request's goal is x: 360 y:20
535: Request moved to x: 355 y:20
535: Request's goal is x: 360 y:20
536: Request moved to x: 356 y:20
536: Request's goal is x: 360 y:20
537: Request moved to x: 357 y:20
537: Request's goal is x: 360 y:20
538: Request moved to x: 358 y:20
538: Request's goal is x: 360 y:20
539: Request moved to x: 359 y:20
539: Request's goal is x: 360 y:20
540: Request moved to x: 360 y:20
540: Request's goal is x: 360 y:20
541: Request changed target neighbour to x: 370 y:10
541: Request moved to x: 360 y:19
541: Request's goal is x: 370 y:10
542: Request moved to x: 361 y:19
542: Request's goal is x: 370 y:10
543: Request moved to x: 361 y:18
543: Request's goal is x: 370 y:10
544: Request moved to x: 362 y:18
544: Request's goal is x: 370 y:10
545: Request moved to x: 362 y:17
545: Request's goal is x: 370 y:10
546: Request moved to x: 363 y:17
546: Request's goal is x: 370 y:10
547: Request moved to x: 363 y:16
547: Request's goal is x: 370 y:10
548: Request moved to x: 364 y:16
548: Request's goal is x: 370 y:10
549: Request moved to x: 364 y:15
549: Request's goal is x: 370 y:10
550: Request moved to x: 365 y:15
550: Request's goal is x: 370 y:10
551: Request moved to x: 365 y:14
551: Request's goal is x: 370 y:10
552: Request moved to x: 366 y:14
552: Request's goal is x: 370 y:10
553: Request moved to x: 366 y:13
553: Request's goal is x: 370 y:10
554: Request moved to x: 367 y:13
554: Request's goal is x: 370 y:10
555: Request moved to x: 367 y:12
555: Request's goal is x: 370 y:10
556: Request moved to x: 368 y:12
556: Request's goal is x: 370 y:10
557: Request moved to x: 368 y:11
557: Request's goal is x: 370 y:10
558: Request moved to x: 369 y:11
558: Request's goal is x: 370 y:10
559: Request moved to x: 369 y:10
559: Request's goal is x: 370 y:10
560: Request moved to x: 370 y:10
560: Request's goal is x: 370 y:10
561: Request changed target neighbour to x: 370 y:20
561: Request moved to x: 370 y:11
561: Request's goal is x: 370 y:20
562: Request moved to x: 370 y:12
562: Request's goal is x: 370 y:20
563: Request moved to x: 370 y:13
563: Request's goal is x: 370 y:20
564: Request moved to x: 370 y:14
564: Request's goal is x: 370 y:20
565: Request moved to x: 370 y:15
565: Request's goal is x: 370 y:20
566: Request moved to x: 370 y:16
566: Request's goal is x: 370 y:20
567: Request moved to x: 370 y:17
567: Request's goal is x: 370 y:20
568: Request moved to x: 370 y:18
568: Request's goal is x: 370 y:20
569: Request moved to x: 370 y:19
569: Request's goal is x: 370 y:20
570: Request moved to x: 370 y:20
570: Request's goal is x: 370 y:20
571: Request changed target neighbour to x: 370 y:30
571: Request moved to x: 370 y:21
571: Request's goal is x: 370 y:30
572: Request moved to x: 370 y:22
572: Request's goal is x: 370 y:30
573: Request moved to x: 370 y:23
573: Request's goal is x: 370 y:30
574: Request moved to x: 370 y:24
574: Request's goal is x: 370 y:30
575: Request moved to x: 370 y:25
575: Request's goal is x: 370 y:30
576: Request moved to x: 370 y:26
576: Request's goal is x: 370 y:30
577: Request moved to x: 370 y:27
577: Request's goal is x: 370 y:30
578: Request moved to x: 370 y:28
578: Request's goal is x: 370 y:30
579: Request moved to x: 370 y:29
579: Request's goal is x: 370 y:30
580: Request moved to x: 370 y:30
580: Request's goal is x: 370 y:30
581: Request changed target neighbour to x: 370 y:40
581: Request moved to x: 370 y:31
581: Request's goal is x: 370 y:40
582: Request moved to x: 370 y:32
582: Request's goal is x: 370 y:40
583: Request moved to x: 370 y:33
583: Request's goal is x: 370 y:40
584: Request moved to x: 370 y:34
584: Request's goal is x: 370 y:40
585: Request moved to x: 370 y:35
585: Request's goal is x: 370 y:40
586: Request moved to x: 370 y:36
586: Request's goal is x: 370 y:40
587: Request moved to x: 370 y:37
587: Request's goal is x: 370 y:40
588: Request moved to x: 370 y:38
588: Request's goal is x: 370 y:40
589: Request moved to x: 370 y:39
589: Request's goal is x: 370 y:40
590: Request moved to x: 370 y:40
590: Request's goal is x: 370 y:40
591: Request changed target neighbour to x: 380 y:40
591: Request moved to x: 371 y:40
591: Request's goal is x: 380 y:40
592: Request moved to x: 372 y:40
592: Request's goal is x: 380 y:40
593: Request moved to x: 373 y:40
593: Request's goal is x: 380 y:40
594: Request moved to x: 374 y:40
594: Request's goal is x: 380 y:40
595: Request moved to x: 375 y:40
595: Request's goal is x: 380 y:40
596: Request moved to x: 376 y:40
596: Request's goal is x: 380 y:40
597: Request moved to x: 377 y:40
597: Request's goal is x: 380 y:40
598: Request moved to x: 378 y:40
598: Request's goal is x: 380 y:40
599: Request moved to x: 379 y:40
599: Request's goal is x: 380 y:40
600: Request moved to x: 380 y:40
600: Request's goal is x: 380 y:40
601: Request changed target neighbour to x: 390 y:40
601: Request moved to x: 381 y:40
601: Request's goal is x: 390 y:40
602: Request moved to x: 382 y:40
602: Request's goal is x: 390 y:40
603: Request moved to x: 383 y:40
603: Request's goal is x: 390 y:40
604: Request moved to x: 384 y:40
604: Request's goal is x: 390 y:40
605: Request moved to x: 385 y:40
605: Request's goal is x: 390 y:40
606: Request moved to x: 386 y:40
606: Request's goal is x: 390 y:40
607: Request moved to x: 387 y:40
607: Request's goal is x: 390 y:40
608: Request moved to x: 388 y:40
608: Request's goal is x: 390 y:40
609: Request moved to x: 389 y:40
609: Request's goal is x: 390 y:40
610: Request moved to x: 390 y:40
610: Request's goal is x: 390 y:40
611: Request changed target neighbour to x: 390 y:30
611: Request moved to x: 390 y:39
611: Request's goal is x: 390 y:30
612: Request moved to x: 390 y:38
612: Request's goal is x: 390 y:30
613: Request moved to x: 390 y:37
613: Request's goal is x: 390 y:30
614: Request moved to x: 390 y:36
614: Request's goal is x: 390 y:30
615: Request moved to x: 390 y:35
615: Request's goal is x: 390 y:30
616: Request moved to x: 390 y:34
616: Request's goal is x: 390 y:30
617: Request moved to x: 390 y:33
617: Request's goal is x: 390 y:30
618: Request moved to x: 390 y:32
618: Request's goal is x: 390 y:30
619: Request moved to x: 390 y:31
619: Request's goal is x: 390 y:30
620: Request moved to x: 390 y:30
620: Request's goal is x: 390 y:30
621: Request changed target neighbour to x: 400 y:30
621: Request moved to x: 391 y:30
621: Request's goal is x: 400 y:30
622: Request moved to x: 392 y:30
622: Request's goal is x: 400 y:30
623: Request moved to x: 393 y:30
623: Request's goal is x: 400 y:30
624: Request moved to x: 394 y:30
624: Request's goal is x: 400 y:30
625: Request moved to x: 395 y:30
625: Request's goal is x: 400 y:30
626: Request moved to x: 396 y:30
626: Request's goal is x: 400 y:30
627: Request moved to x: 397 y:30
627: Request's goal is x: 400 y:30
628: Request moved to x: 398 y:30
628: Request's goal is x: 400 y:30
629: Request moved to x: 399 y:30
629: Request's goal is x: 400 y:30
630: Request moved to x: 400 y:30
630: Request's goal is x: 400 y:30
631: Request changed target neighbour to x: 390 y:20
631: Request moved to x: 400 y:29
631: Request's goal is x: 390 y:20
632: Request moved to x: 399 y:29
632: Request's goal is x: 390 y:20
633: Request moved to x: 399 y:28
633: Request's goal is x: 390 y:20
634: Request moved to x: 398 y:28
634: Request's goal is x: 390 y:20
635: Request moved to x: 398 y:27
635: Request's goal is x: 390 y:20
636: Request moved to x: 397 y:27
636: Request's goal is x: 390 y:20
637: Request moved to x: 397 y:26
637: Request's goal is x: 390 y:20
638: Request moved to x: 396 y:26
638: Request's goal is x: 390 y:20
639: Request moved to x: 396 y:25
639: Request's goal is x: 390 y:20
640: Request moved to x: 395 y:25
640: Request's goal is x: 390 y:20
641: Request moved to x: 395 y:24
641: Request's goal is x: 390 y:20
642: Request moved to x: 394 y:24
642: Request's goal is x: 390 y:20
643: Request moved to x: 394 y:23
643: Request's goal is x: 390 y:20
644: Request moved to x: 393 y:23
644: Request's goal is x: 390 y:20
645: Request moved to x: 393 y:22
645: Request's goal is x: 390 y:20
646: Request moved to x: 392 y:22
646: Request's goal is x: 390 y:20
647: Request moved to x: 392 y:21
647: Request's goal is x: 390 y:20
648: Request moved to x: 391 y:21
648: Request's goal is x: 390 y:20
649: Request moved to x: 391 y:20
649: Request's goal is x: 390 y:20
650: Request moved to x: 390 y:20
650: Request's goal is x: 390 y:20
651: Request changed target neighbour to x: 380 y:20
651: Request moved to x: 389 y:20
651: Request's goal is x: 380 y:20
652: Request moved to x: 388 y:20
652: Request's goal is x: 380 y:20
653: Request moved to x: 387 y:20
653: Request's goal is x: 380 y:20
654: Request moved to x: 386 y:20
654: Request's goal is x: 380 y:20
655: Request moved to x: 385 y:20
655: Request's goal is x: 380 y:20
656: Request moved to x: 384 y:20
656: Request's goal is x: 380 y:20
657: Request moved to x: 383 y:20
657: Request's goal is x: 380 y:20
658: Request moved to x: 382 y:20
658: Request's goal is x: 380 y:20
659: Request moved to x: 381 y:20
659: Request's goal is x: 380 y:20
660: Request moved to x: 380 y:20
660: Request's goal is x: 380 y:20
661: Request changed target neighbour to x: 390 y:20
661: Request moved to x: 381 y:20
661: Request's goal is x: 390 y:20
662: Request moved to x: 382 y:20
662: Request's goal is x: 390 y:20
663: Request moved to x: 383 y:20
663: Request's goal is x: 390 y:20
664: Request moved to x: 384 y:20
664: Request's goal is x: 390 y:20
665: Request moved to x: 385 y:20
665: Request's goal is x: 390 y:20
666: Request moved to x: 386 y:20
666: Request's goal is x: 390 y:20
667: Request moved to x: 387 y:20
667: Request's goal is x: 390 y:20
668: Request moved to x: 388 y:20
668: Request's goal is x: 390 y:20
669: Request moved to x: 389 y:20
669: Request's goal is x: 390 y:20
670: Request moved to x: 390 y:20
670: Request's goal is x: 390 y:20
671: Request changed target neighbour to x: 400 y:30
671: Request moved to x: 390 y:21
671: Request's goal is x: 400 y:30
672: Request moved to x: 391 y:21
672: Request's goal is x: 400 y:30
673: Request moved to x: 391 y:22
673: Request's goal is x: 400 y:30
674: Request moved to x: 392 y:22
674: Request's goal is x: 400 y:30
675: Request moved to x: 392 y:23
675: Request's goal is x: 400 y:30
676: Request moved to x: 393 y:23
676: Request's goal is x: 400 y:30
677: Request moved to x: 393 y:24
677: Request's goal is x: 400 y:30
678: Request moved to x: 394 y:24
678: Request's goal is x: 400 y:30
679: Request moved to x: 394 y:25
679: Request's goal is x: 400 y:30
680: Request moved to x: 395 y:25
680: Request's goal is x: 400 y:30
681: Request moved to x: 395 y:26
681: Request's goal is x: 400 y:30
682: Request moved to x: 396 y:26
682: Request's goal is x: 400 y:30
683: Request moved to x: 396 y:27
683: Request's goal is x: 400 y:30
684: Request moved to x: 397 y:27
684: Request's goal is x: 400 y:30
685: Request moved to x: 397 y:28
685: Request's goal is x: 400 y:30
686: Request moved to x: 398 y:28
686: Request's goal is x: 400 y:30
687: Request moved to x: 398 y:29
687: Request's goal is x: 400 y:30
688: Request moved to x: 399 y:29
688: Request's goal is x: 400 y:30
689: Request moved to x: 399 y:30
689: Request's goal is x: 400 y:30
690: Request moved to x: 400 y:30
690: Request's goal is x: 400 y:30
691: Request changed target neighbour to x: 390 y:20
691: Request moved to x: 400 y:29
691: Request's goal is x: 390 y:20
692: Request moved to x: 399 y:29
692: Request's goal is x: 390 y:20
693: Request moved to x: 399 y:28
693: Request's goal is x: 390 y:20
694: Request moved to x: 398 y:28
694: Request's goal is x: 390 y:20
695: Request moved to x: 398 y:27
695: Request's goal is x: 390 y:20
696: Request moved to x: 397 y:27
696: Request's goal is x: 390 y:20
697: Request moved to x: 397 y:26
697: Request's goal is x: 390 y:20
698: Request moved to x: 396 y:26
698: Request's goal is x: 390 y:20
699: Request moved to x: 396 y:25
699: Request's goal is x: 390 y:20
700: Request moved to x: 395 y:25
700: Request's goal is x: 390 y:20
701: Request moved to x: 395 y:24
701: Request's goal is x: 390 y:20
702: Request moved to x: 394 y:24
702: Request's goal is x: 390 y:20
703: Request moved to x: 394 y:23
703: Request's goal is x: 390 y:20
704: Request moved to x: 393 y:23
704: Request's goal is x: 390 y:20
705: Request moved to x: 393 y:22
705: Request's goal is x: 390 y:20
706: Request moved to x: 392 y:22
706: Request's goal is x: 390 y:20
707: Request moved to x: 392 y:21
707: Request's goal is x: 390 y:20
708: Request moved to x: 391 y:21
708: Request's goal is x: 390 y:20
709: Request moved to x: 391 y:20
709: Request's goal is x: 390 y:20
710: Request moved to x: 390 y:20
710: Request's goal is x: 390 y:20
711: Request changed target neighbour to x: 380 y:30
711: Request moved to x: 390 y:21
711: Request's goal is x: 380 y:30
712: Request moved to x: 389 y:21
712: Request's goal is x: 380 y:30
713: Request moved to x: 389 y:22
713: Request's goal is x: 380 y:30
714: Request moved to x: 388 y:22
714: Request's goal is x: 380 y:30
715: Request moved to x: 388 y:23
715: Request's goal is x: 380 y:30
716: Request moved to x: 387 y:23
716: Request's goal is x: 380 y:30
717: Request moved to x: 387 y:24
717: Request's goal is x: 380 y:30
718: Request moved to x: 386 y:24
718: Request's goal is x: 380 y:30
719: Request moved to x: 386 y:25
719: Request's goal is x: 380 y:30
720: Request moved to x: 385 y:25
720: Request's goal is x: 380 y:30
721: Request moved to x: 385 y:26
721: Request's goal is x: 380 y:30
722: Request moved to x: 384 y:26
722: Request's goal is x: 380 y:30
723: Request moved to x: 384 y:27
723: Request's goal is x: 380 y:30
724: Request moved to x: 383 y:27
724: Request's goal is x: 380 y:30
725: Request moved to x: 383 y:28
725: Request's goal is x: 380 y:30
726: Request moved to x: 382 y:28
726: Request's goal is x: 380 y:30
727: Request moved to x: 382 y:29
727: Request's goal is x: 380 y:30
728: Request moved to x: 381 y:29
728: Request's goal is x: 380 y:30
729: Request moved to x: 381 y:30
729: Request's goal is x: 380 y:30
730: Request moved to x: 380 y:30
730: Request's goal is x: 380 y:30
731: Request changed target neighbour to x: 390 y:40
731: Request moved to x: 380 y:31
731: Request's goal is x: 390 y:40
732: Request moved to x: 381 y:31
732: Request's goal is x: 390 y:40
733: Request moved to x: 381 y:32
733: Request's goal is x: 390 y:40
734: Request moved to x: 382 y:32
734: Request's goal is x: 390 y:40
735: Request moved to x: 382 y:33
735: Request's goal is x: 390 y:40
736: Request moved to x: 383 y:33
736: Request's goal is x: 390 y:40
737: Request moved to x: 383 y:34
737: Request's goal is x: 390 y:40
738: Request moved to x: 384 y:34
738: Request's goal is x: 390 y:40
739: Request moved to x: 384 y:35
739: Request's goal is x: 390 y:40
740: Request moved to x: 385 y:35
740: Request's goal is x: 390 y:40
741: Request moved to x: 385 y:36
741: Request's goal is x: 390 y:40
742: Request moved to x: 386 y:36
742: Request's goal is x: 390 y:40
743: Request moved to x: 386 y:37
743: Request's goal is x: 390 y:40
744: Request moved to x: 387 y:37
744: Request's goal is x: 390 y:40
745: Request moved to x: 387 y:38
745: Request's goal is x: 390 y:40
746: Request moved to x: 388 y:38
746: Request's goal is x: 390 y:40
747: Request moved to x: 388 y:39
747: Request's goal is x: 390 y:40
748: Request moved to x: 389 y:39
748: Request's goal is x: 390 y:40
749: Request moved to x: 389 y:40
749: Request's goal is x: 390 y:40
750: Request moved to x: 390 y:40
750: Request's goal is x: 390 y:40
751: Request changed target neighbour to x: 380 y:40
751: Request moved to x: 389 y:40
751: Request's goal is x: 380 y:40
752: Request moved to x: 388 y:40
752: Request's goal is x: 380 y:40
753: Request moved to x: 387 y:40
753: Request's goal is x: 380 y:40
754: Request moved to x: 386 y:40
754: Request's goal is x: 380 y:40
755: Request moved to x: 385 y:40
755: Request's goal is x: 380 y:40
756: Request moved to x: 384 y:40
756: Request's goal is x: 380 y:40
757: Request moved to x: 383 y:40
757: Request's goal is x: 380 y:40
758: Request moved to x: 382 y:40
758: Request's goal is x: 380 y:40
759: Request moved to x: 381 y:40
759: Request's goal is x: 380 y:40
760: Request moved to x: 380 y:40
760: Request's goal is x: 380 y:40
761: Request changed target neighbour to x: 390 y:40
761: Request moved to x: 381 y:40
761: Request's goal is x: 390 y:40
762: Request moved to x: 382 y:40
762: Request's goal is x: 390 y:40
763: Request moved to x: 383 y:40
763: Request's goal is x: 390 y:40
764: Request moved to x: 384 y:40
764: Request's goal is x: 390 y:40
765: Request moved to x: 385 y:40
765: Request's goal is x: 390 y:40
766: Request moved to x: 386 y:40
766: Request's goal is x: 390 y:40
767: Request moved to x: 387 y:40
767: Request's goal is x: 390 y:40
768: Request moved to x: 388 y:40
768: Request's goal is x: 390 y:40
769: Request moved to x: 389 y:40
769: Request's goal is x: 390 y:40
770: Request moved to x: 390 y:40
770: Request's goal is x: 390 y:40
771: Request changed target neighbour to x: 380 y:40
771: Request moved to x: 389 y:40
771: Request's goal is x: 380 y:40
772: Request moved to x: 388 y:40
772: Request's goal is x: 380 y:40
773: Request moved to x: 387 y:40
773: Request's goal is x: 380 y:40
774: Request moved to x: 386 y:40
774: Request's goal is x: 380 y:40
775: Request moved to x: 385 y:40
775: Request's goal is x: 380 y:40
776: Request moved to x: 384 y:40
776: Request's goal is x: 380 y:40
777: Request moved to x: 383 y:40
777: Request's goal is x: 380 y:40
778: Request moved to x: 382 y:40
778: Request's goal is x: 380 y:40
779: Request moved to x: 381 y:40
779: Request's goal is x: 380 y:40
780: Request moved to x: 380 y:40
780: Request's goal is x: 380 y:40
781: Request changed target neighbour to x: 370 y:50
781: Request moved to x: 380 y:41
781: Request's goal is x: 370 y:50
782: Request moved to x: 379 y:41
782: Request's goal is x: 370 y:50
783: Request moved to x: 379 y:42
783: Request's goal is x: 370 y:50
784: Request moved to x: 378 y:42
784: Request's goal is x: 370 y:50
785: Request moved to x: 378 y:43
785: Request's goal is x: 370 y:50
786: Request moved to x: 377 y:43
786: Request's goal is x: 370 y:50
787: Request moved to x: 377 y:44
787: Request's goal is x: 370 y:50
788: Request moved to x: 376 y:44
788: Request's goal is x: 370 y:50
789: Request moved to x: 376 y:45
789: Request's goal is x: 370 y:50
790: Request moved to x: 375 y:45
790: Request's goal is x: 370 y:50
791: Request moved to x: 375 y:46
791: Request's goal is x: 370 y:50
792: Request moved to x: 374 y:46
792: Request's goal is x: 370 y:50
793: Request moved to x: 374 y:47
793: Request's goal is x: 370 y:50
794: Request moved to x: 373 y:47
794: Request's goal is x: 370 y:50
795: Request moved to x: 373 y:48
795: Request's goal is x: 370 y:50
796: Request moved to x: 372 y:48
796: Request's goal is x: 370 y:50
797: Request moved to x: 372 y:49
797: Request's goal is x: 370 y:50
798: Request moved to x: 371 y:49
798: Request's goal is x: 370 y:50
799: Request moved to x: 371 y:50
799: Request's goal is x: 370 y:50
800: Request moved to x: 370 y:50
800: Request's goal is x: 370 y:50
801: Request changed target neighbour to x: 380 y:40
801: Request moved to x: 370 y:49
801: Request's goal is x: 380 y:40
802: Request moved to x: 371 y:49
802: Request's goal is x: 380 y:40
803: Request moved to x: 371 y:48
803: Request's goal is x: 380 y:40
804: Request moved to x: 372 y:48
804: Request's goal is x: 380 y:40
805: Request moved to x: 372 y:47
